"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C2,C4,C5";"C_0603_1608Metric";3;"100nF";;;
2;"P2";"PinSocket_1x12_P2.54mm_Vertical";1;"Analog";;;
3;"Debug Conn1";"PinHeader_1x03_P2.54mm_Vertical";1;"3-pin header";;;
4;"P1";"PinSocket_1x12_P2.54mm_Vertical";1;"Digital";;;
5;"IC_POT1";"SOP65P640X120-24N";1;"AD8403ARUZ100";;;
6;"C1,C6";"C_0603_1608Metric";2;"10nF";;;
7;"C3";"CP_Elec_4x5.4";1;"10uF";;;
8;"R2,R1";"R_0603_1608Metric";2;"330R";;;
9;"IC_LC1";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"PI4ULS5V108";;;
10;"Gameport1";"DSUB-15_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm";1;"DB15 (Male)";;;
11;"C8,C10,C7,C9";"C_0603_1608Metric";4;"15nF";;;
12;"USB Power1";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
13;"FB1";"L_0603_1608Metric";1;"Ferrite_Bead";;;
14;"Shield GND1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Open";;;
15;"5V Select1";"PinHeader_1x03_P2.54mm_Vertical";1;"Jumper 3-pin";;;
16;"J_PS/2_2";"KMDGX6SBS";1;"Keyboard / Mouse";;;
17;",";"";2;"";;;
18;"LED1,LED2";"PinHeader_1x02_P2.54mm_Vertical";2;"2-pin header";;;
19;"J_PS/2_1";"KMDGX6SBS";1;"Mouse";;;
20;"R3";"R_0603_1608Metric";1;"200k";;;
